expnum,object,"""ra""","""dec""",inttime,mjdate,filter,runid
1331878,ll08+2-2,30.964117168688016,13.696564909539958,320.069664,55802.4837948,r.MP9601,11BC22
1331879,ll08+1-2,29.948748834506723,13.69656408765009,320.111136,55802.4880526,r.MP9601,11BC22
1331880,ll08+0-2,28.933369289253395,13.696564575115461,320.099904,55802.4923747,r.MP9601,11BC22
1331881,ll08-1-2,27.91799839837309,13.696563823460224,320.112864,55802.5047934,r.MP9601,11BC22
1331882,ll08-2-2,26.902621291389416,13.69656363309201,320.111136,55802.5091367,r.MP9601,11BC22
1331883,ll08-2-1,26.9026190696519,14.676563544689232,320.11632000000003,55802.5133996,r.MP9601,11BC22
1331884,ll08-1-1,27.91803783101767,14.676564214608787,320.12064,55802.5176621,r.MP9601,11BC22
1331885,ll08+0-1,28.93336741000021,14.676562060381018,320.12064,55802.5219225,r.MP9601,11BC22
1331886,ll08+1-1,29.948748196789442,14.676583635685718,320.122368,55802.5261848,r.MP9601,11BC22
1331887,ll08+2-1,30.964118385492846,14.676533465984805,320.118048,55802.5306276,r.MP9601,11BC22
1331888,ll08+2-2,30.964119387670944,13.696564083538545,320.122368,55802.5357461,r.MP9601,11BC22
1331889,ll08+1-2,29.948748905775258,13.696562340040659,320.128416,55802.5400034,r.MP9601,11BC22
1331890,ll08+0-2,28.9333690428835,13.696563606912648,320.128416,55802.544269,r.MP9601,11BC22
1331891,ll08-1-2,27.917998865683373,13.696562164088434,320.13273599999997,55802.5485276,r.MP9601,11BC22
1331892,ll08-2-2,26.902580989290648,13.696563048211914,320.130144,55802.5527907,r.MP9601,11BC22
1331893,ll08-2-1,26.902578471805416,14.67658412522708,320.136192,55802.5570542,r.MP9601,11BC22
1331894,ll08-1-1,27.91800161676081,14.676563268429023,320.12928,55802.5614484,r.MP9601,11BC22
1331895,ll08+0-1,28.933369250865233,14.67656449370709,320.135328,55802.5659597,r.MP9601,11BC22
1331896,ll08+1-1,29.94874816127832,14.67656391166831,320.12928,55802.5702205,r.MP9601,11BC22
1331897,ll08+2-1,30.9641183547104,14.676563828962244,320.143104,55802.5747968,r.MP9601,11BC22
1331899,ll08+2-2,30.964120031631666,13.696532661315771,320.131872,55802.582807,r.MP9601,11BC22
1331900,ll08+1-2,29.948709395180654,13.696561639648621,320.122368,55802.5870787,r.MP9601,11BC22
1331901,ll08+0-2,28.93336834947277,13.696563233373213,320.131008,55802.5913399,r.MP9601,11BC22
1331902,ll08-1-2,27.917997380904442,13.696563210487724,320.111136,55802.5956024,r.MP9601,11BC22
1331903,ll08-2-2,26.902619809321383,13.696563608097179,320.13273599999997,55802.5999027,r.MP9601,11BC22
1331904,ll08-2-1,26.90261910957089,14.676531980706443,320.131872,55802.6042384,r.MP9601,11BC22
1331905,ll08-1-1,27.917997845001832,14.676563569076876,320.137056,55802.6085466,r.MP9601,11BC22
1331906,ll08+0-1,28.933367835613005,14.676563168596529,320.128416,55802.6128448,r.MP9601,11BC22
1331907,ll08+1-1,29.94874622857308,14.676563856757996,320.124096,55802.6171785,r.MP9601,11BC22
1331908,ll08+2-1,30.96411717676734,14.676563896721389,320.128416,55802.6219683,r.MP9601,11BC22
1332096,ll08+2+1,30.964119230691054,15.656532466954927,320.137056,55803.469118,r.MP9601,11BC22
1332097,ll08+1+1,29.94874812954809,15.656562367143804,320.112864,55803.4734423,r.MP9601,11BC22
1332098,ll08+0+1,28.933370527018248,15.656583676075925,320.135328,55803.4777063,r.MP9601,11BC22
1332099,ll08-1+1,27.917996062516806,15.656564346100808,320.136192,55803.4819684,r.MP9601,11BC22
1332100,ll08-2+1,26.902618408527324,15.656564252347922,320.126688,55803.4862585,r.MP9601,11BC22
1332101,ll08-2+2,26.902618454738086,16.63653424658878,320.13792,55803.496958,r.MP9601,11BC22
1332102,ll08-1+2,27.917997157691513,16.636563200216813,320.135328,55803.5013729,r.MP9601,11BC22
1332103,ll08+0+2,28.93336915587706,16.63656287001359,320.130144,55803.5056884,r.MP9601,11BC22
1332104,ll08+1+2,29.948750750584647,16.636583995421162,320.144832,55803.5100445,r.MP9601,11BC22
1332105,ll08+2+2,30.96412097247948,16.636562854154548,320.136192,55803.5143721,r.MP9601,11BC22
1332107,ll08+2+1,30.964116577594623,15.656563468753985,320.136192,55803.5215158,r.MP9601,11BC22
1332108,ll08+1+1,29.948749930207466,15.656563802807442,320.13273599999997,55803.5258672,r.MP9601,11BC22
1332109,ll08+0+1,28.933368921943764,15.656534268233058,320.147424,55803.5302152,r.MP9601,11BC22
1332110,ll08-1+1,27.917996632951127,15.656564277638523,320.135328,55803.5344746,r.MP9601,11BC22
1332111,ll08-2+1,26.902617789660795,15.656562985279066,320.13792,55803.5391603,r.MP9601,11BC22
1332112,ll08-2+2,26.902615450986577,16.636563623729728,320.143104,55803.5435233,r.MP9601,11BC22
1332113,ll08-1+2,27.918000948505828,16.636562669416577,320.13273599999997,55803.5478656,r.MP9601,11BC22
1332114,ll08+0+2,28.93336977202869,16.636562853271784,320.14137600000004,55803.5521956,r.MP9601,11BC22
1332115,ll08+1+2,29.94874726193597,16.63658254153802,320.143104,55803.5565837,r.MP9601,11BC22
1332116,ll08+2+2,30.96411861866104,16.636563212343077,320.143104,55803.5609243,r.MP9601,11BC22
1332118,ll08+2+1,30.964118463365946,15.65656372325303,320.12064,55803.5679118,r.MP9601,11BC22
1332119,ll08+1+1,29.94874922763846,15.65656390123047,320.12582399999997,55803.5722408,r.MP9601,11BC22
1332120,ll08+0+1,28.93336909241738,15.656563115325186,320.131872,55803.5766412,r.MP9601,11BC22
1332121,ll08-1+1,27.917999415297675,15.65653321360169,320.137056,55803.5808998,r.MP9601,11BC22
1332122,ll08-2+1,26.902618689322953,15.656563461722984,320.1336,55803.5855304,r.MP9601,11BC22
1332123,ll08-2+2,26.902620827384627,16.636562881881147,320.12496,55803.5899425,r.MP9601,11BC22
