RA_J2000,DEC_J2000,LON_HCRS,LAT_HCRS,LON_INV,LAT_INV
     109.1,     22.28,     107.6,       0.0,       0.0,       0.0
     113.0,     21.86,     111.2,   0.09965,       3.6,       0.0
     116.8,     21.36,     114.8,    0.1989,       7.2,       0.0
     120.6,     20.77,     118.4,    0.2974,      10.8,       0.0
     124.4,      20.1,     122.0,    0.3947,      14.4,       0.0
     128.1,     19.34,     125.6,    0.4904,      18.0,       0.0
     131.8,     18.51,     129.2,    0.5842,      21.6,       0.0
     135.5,     17.61,     132.8,    0.6757,      25.2,       0.0
     139.1,     16.65,     136.4,    0.7646,      28.8,       0.0
     142.7,     15.62,     140.0,    0.8504,      32.4,       0.0
     146.3,     14.53,     143.6,    0.9328,      36.0,       0.0
     149.8,     13.39,     147.2,     1.012,      39.6,       0.0
     153.3,      12.2,     150.8,     1.086,      43.2,       0.0
     156.7,     10.97,     154.4,     1.157,      46.8,       0.0
     160.1,     9.701,     158.0,     1.223,      50.4,       0.0
     163.5,     8.397,     161.6,     1.284,      54.0,       0.0
     166.9,     7.064,     165.2,      1.34,      57.6,       0.0
     170.3,     5.707,     168.8,     1.391,      61.2,       0.0
     173.6,     4.331,     172.4,     1.436,      64.8,       0.0
     176.9,     2.941,     176.0,     1.476,      68.4,       0.0
     180.2,      1.54,     179.6,     1.509,      72.0,       0.0
     183.6,    0.1343,     183.2,     1.537,      75.6,       0.0
     186.9,    -1.272,     186.8,     1.559,      79.2,       0.0
     190.2,    -2.674,     190.4,     1.575,      82.8,       0.0
     193.5,    -4.067,     194.0,     1.584,      86.4,       0.0
     196.8,    -5.446,     197.6,     1.587,      90.0,       0.0
     200.2,    -6.807,     201.2,     1.584,      93.6,       0.0
     203.6,    -8.144,     204.8,     1.575,      97.2,       0.0
     207.0,    -9.454,     208.4,     1.559,     100.8,       0.0
     210.4,    -10.73,     212.0,     1.537,     104.4,       0.0
     213.8,    -11.97,     215.6,     1.509,     108.0,       0.0
     217.3,    -13.17,     219.2,     1.476,     111.6,       0.0
     220.8,    -14.32,     222.8,     1.436,     115.2,       0.0
     224.4,    -15.41,     226.4,     1.391,     118.8,       0.0
     227.9,    -16.45,     230.0,      1.34,     122.4,       0.0
     231.6,    -17.43,     233.6,     1.284,     126.0,       0.0
     235.2,    -18.35,     237.2,     1.223,     129.6,       0.0
     238.9,    -19.19,     240.8,     1.157,     133.2,       0.0
     242.7,    -19.96,     244.4,     1.086,     136.8,       0.0
     246.4,    -20.65,     248.0,     1.012,     140.4,       0.0
     250.2,    -21.25,     251.6,    0.9328,     144.0,       0.0
     254.1,    -21.77,     255.2,    0.8504,     147.6,       0.0
     257.9,    -22.21,     258.8,    0.7646,     151.2,       0.0
     261.8,    -22.55,     262.4,    0.6757,     154.8,       0.0
     265.7,    -22.79,     266.0,    0.5842,     158.4,       0.0
     269.6,    -22.95,     269.6,    0.4904,     162.0,       0.0
     273.5,    -23.01,     273.2,    0.3947,     165.6,       0.0
     277.4,    -22.97,     276.8,    0.2974,     169.2,       0.0
     281.3,    -22.83,     280.4,    0.1989,     172.8,       0.0
     285.2,     -22.6,     284.0,   0.09965,     176.4,       0.0
     289.1,    -22.28,     287.6,   0.00000,     180.0,       0.0
     292.9,    -21.87,     291.2,  -0.09965,     183.6,       0.0
     296.8,    -21.36,     294.8,   -0.1989,     187.2,       0.0
     300.6,    -20.77,     298.4,   -0.2974,     190.8,       0.0
     304.3,     -20.1,     302.0,   -0.3947,     194.4,       0.0
     308.1,    -19.35,     305.6,   -0.4904,     198.0,       0.0
     311.8,    -18.52,     309.2,   -0.5842,     201.6,       0.0
     315.5,    -17.62,     312.8,   -0.6757,     205.2,       0.0
     319.1,    -16.65,     316.4,   -0.7646,     208.8,       0.0
     322.7,    -15.62,     320.0,   -0.8504,     212.4,       0.0
     326.2,    -14.54,     323.6,   -0.9328,     216.0,       0.0
     329.8,     -13.4,     327.2,    -1.012,     219.6,       0.0
     333.2,    -12.21,     330.8,    -1.086,     223.2,       0.0
     336.7,    -10.98,     334.4,    -1.157,     226.8,       0.0
     340.1,    -9.706,     338.0,    -1.223,     230.4,       0.0
     343.5,    -8.402,     341.6,    -1.284,     234.0,       0.0
     346.9,    -7.069,     345.2,     -1.34,     237.6,       0.0
     350.2,    -5.712,     348.8,    -1.391,     241.2,       0.0
     353.6,    -4.335,     352.4,    -1.436,     244.8,       0.0
     356.9,    -2.944,     356.0,    -1.476,     248.4,       0.0
    0.2353,    -1.543,     359.6,    -1.509,     252.0,       0.0
      3.55,    -0.137,     3.203,    -1.537,     255.6,       0.0
     6.865,      1.27,     6.805,    -1.559,     259.2,       0.0
     10.18,     2.672,     10.41,    -1.575,     262.8,       0.0
     13.51,     4.065,     14.01,    -1.584,     266.4,       0.0
     16.85,     5.445,     17.61,    -1.587,     270.0,       0.0
      20.2,     6.807,     21.21,    -1.584,     273.6,       0.0
     23.57,     8.145,     24.81,    -1.575,     277.2,       0.0
     26.97,     9.455,     28.41,    -1.559,     280.8,       0.0
     30.38,     10.73,     32.01,    -1.537,     284.4,       0.0
     33.83,     11.97,     35.62,    -1.509,     288.0,       0.0
     37.31,     13.17,     39.22,    -1.476,     291.6,       0.0
     40.82,     14.32,     42.82,    -1.436,     295.2,       0.0
     44.37,     15.42,     46.42,    -1.391,     298.8,       0.0
     47.96,     16.46,     50.02,     -1.34,     302.4,       0.0
     51.58,     17.44,     53.62,    -1.284,     306.0,       0.0
     55.24,     18.35,     57.22,    -1.223,     309.6,       0.0
     58.94,     19.19,     60.82,    -1.157,     313.2,       0.0
     62.67,     19.96,     64.42,    -1.086,     316.8,       0.0
     66.44,     20.65,     68.02,    -1.012,     320.4,       0.0
     70.24,     21.26,     71.62,   -0.9328,     324.0,       0.0
     74.07,     21.78,     75.22,   -0.8504,     327.6,       0.0
     77.92,     22.21,     78.82,   -0.7646,     331.2,       0.0
      81.8,     22.55,     82.42,   -0.6757,     334.8,       0.0
     85.69,      22.8,     86.02,   -0.5842,     338.4,       0.0
      89.6,     22.95,     89.62,   -0.4904,     342.0,       0.0
     93.51,     23.01,     93.21,   -0.3947,     345.6,       0.0
     97.42,     22.97,     96.81,   -0.2974,     349.2,       0.0
     101.3,     22.83,     100.4,   -0.1989,     352.8,       0.0
     105.2,      22.6,     104.0,  -0.09965,     356.4,       0.0
